name,more_detailed_summary
1 Hotel South Beach,"1 Hotel South Beach is a hotel rated 4.5 stars, located at 2341 Collins Avenue, Miami Beach, FL 33139. This hotel offers a range from $658 - $1,178 per night and is ranked #3 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 426 rooms. Key highlights from guest reviews include: I was hoping to find a delicious cronut in this fine, very busy amazing space south beach longed for.. Elegance, amazing views, a menu rich in varieties and catered to everyone.. Great space with incredible views.. The poolside view of the beach is tremendous, if you can’t make lunch or dinner just go for a drink.. Be sure to try the Prickly Pear Paloma
It’s the real PPP we all need
Great view and atmosphere 
Upbeat music as well. We came for the amazing ambience, food, and views, but stayed for Spencer.. The rooftop is beautiful at night and has a great view.. Great music, excellent service, yummy food, gorgeous view.. Amazing food, scenery and service. Great service at habitat restaurant.. Service is very attentive and adds to the overall tranquillity of the location.. The customer service is above and beyond on every level.. Room Service arrived at the time they estimated on the phone.. Have met many great staff here, all very accommodating and go beyond and above to help you.. The service was incredible.. Her positive  outburst of energy made for an unforgettable experience and while taking care of me she made sure other gusts were being helped as well, Lilia is a true star engaging hospitality, making us feel welcome creating that emotional connection that will bring me back to1hotel even if just for another cup of coffee and a pastry and a first class experience when I’m back in town on another short trip, possibly to experience the Hotel as well.. We love the 1, especially the beach service.. Jake on the beach took care of all of our needs and was quick and friendly.. The food and drinks are top notch at both beach and pool, and towel/chair service is fast and efficient.. Not only is the hotel beautiful with amazing amenities, but the staff goes above and beyond.. Raj and his entire team were incredibly helpful leading up to our trip and made sure that we were taken care of throughout our stay.. The service, food and overall experience was top of the line luxurious.. The beach service was really friendly, especially Matheus who was really helpful and nice and always came by asking if we needed anything!. The staff that helps setting up the chairs were also super nice. All the staff was very friendly, especially the doorman, cleaning ladies and guest relation!!. Her energy is really contagious in addition to the professionalism in the service.. The hotel is perfect, exceptional service !!!!. Our days at the pool were terrific to begin with, naturally with the high end touches from the amount of servers and service, to the pool layout, extra large hot tub and luxurious finishes.. The service was professional, friendly, and quick.. We could not be any happier with service and food.. Even though the hotel was packed (since it was spring break), nothing felt overcrowded and the staff was very attentive.. Burak and his staff were exceptional and it was one of the best experiences I've had in Miami.. Great bartenders and staff at 1
Hotel Roof Top Bar a truly unique spot on South Beach.. Cristino at the rooftop bar was world-class in service and client engagement.. You can really tell he cares and is over the top kind with his charismatic personality and contagious smile!. Great music, excellent service, yummy food, gorgeous view.. I will be back and hope we get her service again!. Great service and will definitely be asking for Angelo again next time we go back to the beach at the 1 hotel.. Our first time there she was so helpful and gave us a lot of ideas to do around the area.. The service on the beach is always first class.. From the moment you enter the beach, the staff’s hospitality and willingness to help set up your chairs and find you the perfect spot for the sun is 5 stars.. The service made me feel so welcomed, specially Lilia.. Isis is outstanding she Makes people feel welcome she Makes Thr Best hazelnut cappucino And if you are sick she takes Care of you I Will always see isis For All of my coffee needs.. Ilhame was so helpful and had such a great energy.. Amazing food, scenery and service. For more information, visit http://1hotels.com/south-beach?utm_source=tripadvisor&utm_medium=referral&utm_campaign=business-advantage or check reviews online to learn more about guest experiences."
AxelBeach Miami,"AxelBeach Miami is a hotel rated 4.5 stars, located at 1500 Collins Ave, Miami Beach, FL 33139-3111. This hotel offers a range from $137 - $227 per night and is ranked #41 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 160 rooms. Key highlights from guest reviews include:  The staff was very friendly.. The room was fine - clean and well equipped - and there were plenty of relatively friendly staff around.. There is a small drop-off area for guests to leave their cars when they check-in, but some of the staff is allowed to park there.. There is a large public parking garage (for a fee) just a block away, and I think they should pay for their staff to park there.. Very kind service.. The staff was rude and unhelpful.. Unfortunately these are outweighed by the negatives including poorly trained reception desk staff who act like they are doing you a favour when you approach to ask a question and an even worse manager, who is rarely in the hotel when you ask for him.. For the length of time we were staying at the hotel we thought we would be priority guests but that didn't matter at all to the reception staff who were rude, dismissive and unaccomodating.. The staff are brilliant especially the bar staff.. I have always felt at home when I am in Miami, but the staff at the front desk (Delfina and Joaquin) has taken it to the next level.. Axel management has definitely taken customer service a serious matter as I have stayed at Axel Barcelona (first time 15 years ago), Axel Buenos Aires and Axel Berlin, with all consistent customer service.. Stayed at the Axel in Barcelona and Miami Beach a few times, and it’s always provided top notch service.. Service was great - friendly staff and overall a good stay .. We really enjoyed our stay at Axel Beach the staff are super friendly everything was neat and clean and you get two sun beds on the beach 😍the location is perfect walking distance to the main streets!. Appreciate the service!. Staff is Amazing, my wife and I were greeted with pleasant smiles and helpful hands.. We were accommodated with ease and was able to check in earlier than our call time which was super helpful and kind.. The staff are lovely and will go above and beyond to help.. Staff was amazingly helpful, everyone has a smile, and they catered to my requests.. We needed and the staff were beyond amazing.. Thank you John especially for amazing service.. The bar staff were amazing as well!. Danas was very helpful and professional.. got in 4 hours early and Danas got us in early, great service all around.. Clean, good sheets and towels and friendly staff.. Poor reception customer service, they just didn’t seem bothered apart from Esme who was lovely.. Basic and dated room (and it wasn’t the standard room); I asked for a firm pillow and was told they didn’t have, until I asked to speak with the manager, then all of a sudden a firm pillow arrived ‘reluctantly�?by housekeeping staff; Breakfast average, often just luke warm, although the bar staff were nice.. The staff was very friendly and made sure we had a great time.. Rodrigo at the front desk was very helpful.. The staff overall was very warm and friendly.. The days that the two of them do not have a shift is quite noticeable because the quality of customer service drops.. All the staff is really friendly and helpful.. The hotel stuff were really nice, kind and helpful.. Rodrigo, the hotel host was really helpful and kind.. He was also super helpful with questions we had about the city during our stay.. Axel was amazing and the hotel staff was amazing , would definitely return and think it is great value for money and location so a huge thank you to all of you there !. These two guys where so helpful, understanding and accomodating.. Staff were caring and happy.. Hotel staff was amazing.. Excellent customer service from reception team especially John.. All front desk staff are always smiling and making your day starting very good.. Ahmad was very nice and helpful.. We arrived early, and the hotel staff was immediately so welcoming.. The service of Daniel, Javier, and Franco was like no other, and I’m most definitely staying here the next time I’m in South Beach! For more information, visit http://www.axelhotels.com/int/axelbeach-miami/hotel.html or check reviews online to learn more about guest experiences."
Baltic Hotel,"Baltic Hotel is a hotel rated 3.5 stars, located at 7643 Harding Ave, Miami Beach, FL 33141-2199. This hotel offers a range from $75 - $96 per night and is ranked #160 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 11 rooms. Key highlights from guest reviews include: This is my first bad review in all the years of reviewing trip advisor etc.  For more information, visit https://baltic-hotel.miamibeachfl-hotel.com/ or check reviews online to learn more about guest experiences."
Beach Park Hotel,"Beach Park Hotel is a hotel rated 3.5 stars, located at 600 Ocean Dr, Miami Beach, FL 33139-6219. This hotel offers a range from $111 - $237 per night and is ranked #152 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 54 rooms. Key highlights from guest reviews include: We had a room with a view of Ocean Drive to start with which was a nice view but very noisy due to thin old windows.. The view from our room was nice and there was a lot to do in walking distance.  For more information, visit http://www.beachparkmiami.com or check reviews online to learn more about guest experiences."
Berkeley Shore Hotel,"Berkeley Shore Hotel is a hotel rated 4.5 stars, located at 1610 Collins Ave, Miami Beach, FL 33139-3113. This hotel offers a range from $158 - $294 per night and is ranked #40 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 96 rooms. Key highlights from guest reviews include: We also had a pool and ocean view.. Rooms were clean, rooftop pool had great views of the high rises, hotel restaurant food was delicious and service was excellent.. I had family stay before and they had overall good reviews.. After reading several reviews of this hotel, we didn’t have any unexpected surprises.. Our room was the Premium room with partial ocean view and balcony on the 10th floor.. Since this is not an ocean front location, I was not surprised that it was more of a glimpse vs. ocean view.. Standard rooms are either on lower  floors or without any view (alley) or looking inside another hotels window.. Keep in mind ""partial ocean"" view is not because of the beam, but because of the other hotels in front of it blocking the view.. Rooms 703, 704 (numbered 1, 4 on attached pic) are partial view but have a beam right in a middle of your balcony which ruins it and not what is advertised when they charge you double the price.. Rooms 701, and 702 (numbered 2,3 on pic attached) are in a middle and are the ONLY 2 rooms on each high floor  that still have partial view of the  ocean because of the hotel location BUT they are without the blocking beam, which is exactly what is advertised online, and they are the same exact price as the ones with blocking hotel beam.. In reading the previous reviews before I chose this hotel I was a bit nervous because some of them were really bad.. We opted for the premier Plus room with balcony overlooking the pool and partial ocean view.. It is my observation that if you stay on the 4th floor or higher that you might have the better experience, and maybe this is where the negative reviews come from.. The location is unbeatable, so near to the beach, we had ocean view from our room!!!. Our ocean view was magnificent!. So they put is another room which was “discounted�?- no it was a crap room with a broken a/c and city view (the alley).. After one night We asked them to move us to a room (balcony with beach view) more equivalent to our original booking which they did but with one bed instead of two.. The photos and the inflated reviews were not representative.. Service in breakfast really really good, average price great 
Parcial ocean view and private beach.. Our room was lovely - 10th floor balcony with a partial ocean view.. The room included a balcony that overlooked the pool with amazing views of the skyline.. We relaxed on the rooftop pool and enjoyed the views. The staff were very friendly.. The pool is very nice but limited loungers, the beach was a short walk away which was very nice, the resort fee covered lounge chair, umbrella and there was also bar service.. The staff was kind and welcoming, the room was clean and spacious, and the bed was comfortable.. I would recommend getting the breakfast included option as the breakfast was delicious, and the service was quick and professional.. Staff was great!. Rooms were clean, rooftop pool had great views of the high rises, hotel restaurant food was delicious and service was excellent.. The room is great, the staff amazing, you have a pool on the roof and a very nice terrase in front of the hotel.. The staff were amazingly friendly!. The staff was pleasant.. Great staff also!. It was very clean and the staff was great.. The gym and pool are terrible with no staff or service.. It seems a valet service that takes care of 7 other hotels is whom they use.. Nice hotel, clean and 'most' of the staff are friendly and professional.. Great location, beautiful art deco hotel in the middle of everything; comfy beds, great toiletries, and super attentive staff.. We were greeted each day with a smile and also nice compliments from one of the staff, Robert.. The staff is friendly and knowledgeable about activities.. The staff was friendly and helpful in giving us restaurant recommendations.. The best part of my Iberostar cancun experience was the great service Jordan gave us!. He did a beautiful job decorating and organizing our room and He was very kind, responsive and helpful.. Jordan offered me the best hotel service i needed when traveling to cancun for my birthday.. In comparasion to other iberostar resorts cleaning service, the best and the highlight of them have been jordan!. Our room was coming out to the pool and collins ave and eveb though there was a clear noise at night, the sliding doors took care of it, and we slept good.. The staff was pleasant, but quite a few did not speak English (housekeeping).. Ceasar was a great example of hospitality and always with a smile and genuine willingness to help.. Food and beverage service on the beach (from Loews) is good, although a bit pricey and the servers were stretched a little thin due to lots of orders.. -only one staff member at check-in desk at any given time due to this not being a huge hotel.. However, the staff were very courteous and helpful.. One criticism would be when calling for room service we’d have to collect it from the restaurant - not exactly room service. The staff is great, they were very helpful and very nice every time we needed something!!!. Excellent service, spacious and comfortable rooms and perfect location only 2 blocks away from the beach and in the heart of Collins Ave.. This hotel is a gem in South Beach, with amazing location and wonderful friendly staff.. They charge a fee for beach services, as most of the hotels in the area, but it is totally worth it!. Staff very friendly and accommodating!. Rooms are ok, Only showers are a little weird�?Filia Restaurant is very good, excellent food and Service.. Location great, staff really great but a bit overwhelmed, beach lounge access free - excellent plus, valet parking although with a daily fee was a plus.. Staff very friendly.. Room service
didn't provide any towels, so we had to use our towel from
day 1.. Our room was located at the second floor face to
entrance of the hotel, from 8am in the morning they played
music loudly, so we had to woke up every day with hotel
staff because of their noise.. the rooms are very tidy and clean, and the staff is super friendly.. Service in breakfast really really good, average price great 
Parcial ocean view and private beach.. Staff needs proper training.. They don't know proper guest service especially room service.. We were impressed with how clean the hotel was and how helpful and attentive the staff was.. There is room service, but we did not use it.. The front desk staff was very helpful and arranged for a taxi to Hard Rock Stadium for us.. All the wait staff were friendly and accommodating.. The staff were friendly and courteous.. It is a very comfortable hotel, it has valet parking, the rooms are very good and clean, the breakfast is delicious and they have beach service which is great.. Everyone who works here is very kind and helpful. For more information, visit http://www.berkeleyshore.com or check reviews online to learn more about guest experiences."
Best Western Plus Atlantic Beach Resort,"Best Western Plus Atlantic Beach Resort is a hotel rated 3.5 stars, located at 4101 Collins Ave, Miami Beach, FL 33140-3210. This hotel offers a range from $167 - $267 per night and is ranked #151 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 186 rooms. Key highlights from guest reviews include: Pool closes too early, our oceanview room had a view if you hang off the porch w/camera,  Elevators took a long time, front desk staff advised us not to eat at in house cafe...Smallest bathroom & no counter space.. The view from the patio is awesome.. (Read my last review for how our last experience was.). Great view of the ocean.. The view was awesome since it was too cool to be outside.. We didn't have the ocean view, but we had TONS of space.. Paid for an king oceanfront room, given a double ocean view room and not given a refund or a discount for a less expensive room.. I was scared because of the reviews but honestly it was amazing!!. We had the partial ocean view room.. Depending on your room preference, there are rooms with an ocean view.. Nice partial view of the ocean and good service at the on-site restaurant.. Excellent location, great service, good view to the ocean.. Restaurant is very good, nice ambience and delicious food
Staff is friendly and courteous
Great location
Amazing ocean view from room 
Direct exit to the beach Pool closes too early, our oceanview room had a view if you hang off the porch w/camera,  Elevators took a long time, front desk staff advised us not to eat at in house cafe...Smallest bathroom & no counter space.. Staff were helpful.. Thanks to Tony the night Manager, he is very professional and did take care of us.. The concierge, Eduardo is super friendly and helpful.. Very poor service from the minute we checked in.. Between the lackluster customer service and responsiveness, you get what you pay for.. Fantastic staff!. Great location and staff.. It took a consultation with the entire staff to finally give me one free night out of our three-night stay.. I was upset that I had to spend at least 20 minutes arguing with the staff, and it ruined the beginning of my vacation.. Rating of Staff: 2/5 for lack of competence.. Be careful when leaving the property for the beach!. Staff was very helpful, room was very clean, everything was perfect.. This hotel has unfriendly and unknowledgeable front desk staff.. Staff is so helpful.. The staff try’s their best to accommodate each and every guest.. Good working people and good work and people very nice and helpful.. The staff was rude.. Also as expected be prepared to use google translate most of the staff can’t speak English ( which is fine because of the location ) but definitely worsened the experience of this stay Very indicated by the customer service of this hotel I planned my vacations in advance and made my reservation when I arrived they had canceled my reservation and they made me wait 3 hours to be able to give me a room being their fault for having canceled my reservation I asked to speak with a manager but none was available the front desk they are all mediocre they do not know what they are doing one says one thing and the other employee says something else they do not agree on how they should treat a client and more surprised that this happens in miami beach where there is all the tourism ,I would definitely never stay at this hotel again and would not recommend it to anyone as we travel from so far away and plan our vacations well in advance.. The staff especially Muhammed at the front were great!. Friendly staff.. The staff was so welcoming.. The staff is friendly.. Restaurant has limited hours of service.. This is our third time staying at this beautiful hotel .we love the beautiful rooms,  the staff is amazing, great food in the restaurant and the new coffee shop in the hotel 🏨 with a pool table.. I showed him my copy of the reservation confirmation that I received from Best Western, and the staff managed to fix my reservation on their end.. The people in the hotel, were very friendly, helpful, and courteous.. One very important detail is to be careful when you walk through the gate to the beach.. I had to stand on a chair to take out battery after a 30 minute runaround when no staff was available to do the work.. The restaurant was conveniently located, the staff was professional and friendly, and room was comfortable and clean.. I enjoyed the beach area behind the hotel, the bar staff at pool side was friendly and made a nice drink.. Jefferson Romulo and Nidia was also very calm staff and nice.. I was scared because of the reviews but honestly it was amazing!!. Front desk was super helpful with questions about transportation, food, etc.. It was a pleasant stay , the front desk staff was super helpful , the rooms was clean and in general everything look fantastic , I will recommended this hotel ,the pool was warm and the beach was perfect. Excellent visit - amenities and property are well-maintained; the hotel staff provided excellent  customer service.. Beach, internet, bar, restaurant, gym and a super friendly staff always willing to help customers to have a great experience.. But you still expect good service and care for your needs.. The staff was very rude and condescending.. Giving us attitude.Super lazy staff.. Nice partial view of the ocean and good service at the on-site restaurant.. Excellent location, great service, good view to the ocean.. The staff are amazing, they treated us very well making sure we were happy and satisfied.. Rooms did not get below 73 degrees, front desk staff was not friendly, any issues we had, they acted as if we were an inconvenience to them.. If you want to use the laundry services, bring your own quarters as 5th will send you across her street to a CVS pharmacy.. Hotel staff was very helpful.. Had to rekey my room several times but the hotel staff rekeying my card, didn’t seem to bother them.. Everything is hospital clean, nice restaurant, nice staff.. Restaurant is very good, nice ambience and delicious food
Staff is friendly and courteous
Great location
Amazing ocean view from room 
Direct exit to the beach For more information, visit https://www.bestwestern.com/de_DE/book/hotel-rooms.10366.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:10366 or check reviews online to learn more about guest experiences."
Bikini Lodge,"Bikini Lodge is a hotel rated 4.0 stars, located at 1255 West Ave South Beach, Miami Beach, FL 33139-4307. This hotel offers a range from $93 - $159 per night and is ranked #155 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 7 rooms. Key highlights from guest reviews include:  Beyond terrible service & very unprofessional staff, besides taking their sweet time with customers (40 min on average) because the front desk attentandnt was drinking on the job and would stop every two seconds to go do something else instead of finishing the transaction.. He goes and grabs for drinks for the rest of his staff to drink.. Horrible place and even worse staff, don't waste your time or money going here unless you have other options even then you're better off sleeping on a bench.. The staff was above and beyond friendly.. JJ was also more than helpful suggesting places to visit to make my vacation more exciting.. I enjoyed the hospitality they offered and made me fall in love with Bikini Hostel. For more information, visit http://www.bikinilodge.com or check reviews online to learn more about guest experiences."
Carillon Miami Wellness Resort,"Carillon Miami Wellness Resort is a hotel rated 4.5 stars, located at 6801 Collins Ave, Miami Beach, FL 33141-3243. This hotel offers a range from $382 - $769 per night and is ranked #34 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 150 rooms. Key highlights from guest reviews include: I am giving this review because I adore this wellness resort and they are best in class to provide fitness instructors.. My breakfast was possibly the saddest breakfast I've eaten of all the breakfasts I'd had - and I will say this was absolutely our mistake for not reading the reviews and feedback about the restaurant.. I do not understand these reviews.. The view and beach are perfect, with water to drink everywhere!. The views, the gym, the rooms, the spa and the beach.. So no outdoor eating with a view. For some reason, I just got used to the fact that in hotels where you pay a thousand dollars per night, the service is of a completely different level.. Although it is possible that America has become just a very expensive country, and the pandemic has completely destroyed the local service.. Next time I will definitely stay at the Ritz on Miami Beach - what if I'm wrong, and chain hotels still maintain a normal level of service.. But it apperently lacks the basic level of service of a five-star hotel.. The front desk clerks were very friendly and helpful.. Management has taken to stationing a bodyguard outside their offices...obviously staff morale is in the pits.. The service I received from the the booking process to my departure was fantastic!. My services began at 11:30 and ended at 5pm.. Staff are very nice and helpful and guide you through the process.. The staff are really unmatched in their kindness and hospitality and make for an excellent stay.. The spa is the highlight with so many innovative ways to relax and they take such good care of you.. They were very helpful and very kind and are an asset to the hotel.. The service people for the most part were wonderful- especially the bellhop Chris!. Check in was quick and the staff was friendly and helpful.. They continually acted like we were a nuisance and asking for something unreasonable when we made it clear we didn't care where our new room was or what it was or if it was facing an alley - we just wanted to be able to plug things in without the lights going out.. I will say the staff was always incredible nice and apologetic, it just seemed like they could never manage this rush.. The spa and wellness and fitness services were the absolute highlight of the experience.. We were delighted thinking we could grab these the head down, but the staff member told us we couldn't remove them from the area and the downstairs pool should be set up (news flash it was not - since we just came from here).. We saw a staff member setting chairs up and asked if we could also get set up and he said he had just grabbed these from the pool since someone asked him and the beach wasn't set up.. After some beach time we asked if we could extend our check out even by 15 or 30 minutes so we could have just a little bit of extra time to get cleaned up and explained we totally understood if they couldn't do it and then had the most patronizing experience with front desk staff telling us it was super tight and it would be really really hard to do and a burden but maybe they could make it work.. Service overall not comparable to other 5 star hotels, but hotel was great for our purposes with family.. They have service on the beach which was fine but drinks/food was very slow.. The Staff was terrific, very professional while respecting our desire for some much needed downtime.. Our time was unstructured and self directed, with the staff available and knowledgeable to add suggestions for our fun itinerary was packed with alternatives for our body and mind  recharge.. The Concierge Staff also seemed to personally know, and have access to, the best tables at  every exceptional restaurant option up and down the Miami Beaches.. The staff throughout was friendly and helpful.. The management and entire staff was so professional, friendly and accommodating �?they assisted us with changing our room to a two-bedroom ocean front suite with a terrace.. The entire staff was extremely helpful with everything we needed.. The service experience was great with some highlights.. Ilya and Tayfun at the front desk/reception were very helpful and attentive in talking care of our needs to help make our stay as smooth and easy as possible.. Alex Carnot on the Front Desk was very helpful with information about the property, rooms, etc.. Issues invariably come up during most hotel stays and the Carillon staff were quick and happy to address and solve them.. Felix and the staff we interacted with were a pleasure to deal with.. Would recommend the Carillon if you’re looking for an active, wellness-oriented stay at a property with great service in a location on a wide beautiful stretch of beach in Miami Beach.. I look forward to coming back soon and want to thank Tammy and her entire staff for such a life changing Five Star experience!. With the prices of this place you’d expect quality customer service, she doesn’t seem very well trained for her position.. He is amazing - very helpful and personable.. Many thanks to Alex and his team for their superb hospitality and customer service.. The housekeeping staff was also responsive and Sonnia, Spa front desk reception was fantastic.. I have documentation, etc, but the hotel does not care.. This despite it being overpriced, understaffed with mediocre food, unusable WiFi (forget streaming), cheap uncomfortable beds and furniture, poorly equipped kitchens.. Housekeeping staff stole my jewelry…unprofessional management.. He didn’t care�?he never communicated with me about it.. Rooms were very nice and very comfortable, service was amazing.. Hotel staff are awesome and very professional.. The beach  was just great.. server on the beach great job of taking care of us... The staff was extremely helpful and professional.. Pool/ Beach excellent service and experience.. My wife and I used the spa services, many of which are included in your stay.. He stayed after it was time for him to leave to make sure that we were taken care of. For more information, visit http://www.carillonhotel.com or check reviews online to learn more about guest experiences."
Catalina Hotel & Beach Club,"Catalina Hotel & Beach Club is a hotel rated 3.5 stars, located at 1732 Collins Avenue, Miami Beach, FL 33139-2007. This hotel offers a range from $121 - $231 per night and is ranked #59 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 190 rooms. Key highlights from guest reviews include: They write a 5-star review for you, and in return, they give you an upgraded room.. Mariela and Livia weee so helpful I needed an early check in , the view is beautiful and they have a tester aint and bar that is a part of the hotel and a lot of others surrounding everything is walking distance ! The manager was so unfriendly, it’s like he went out of his way to be rude and as unhelpful as possible.. When we finally got checked in, hadn’t been in room no time, a member of staff pecked on the door and immediately opened the door and came in.. Good points at The Catalina Hotel and (not) beach club are that the bar staff seemed polite and efficient.. Then the breakfast - waited 40 minutes for initial service.. Hotel staff were very helpful and a special shout out to Livia and Cindy at reception for going above and beyond.. Thank you Juan, Nicholas, and Diego, for all your kind service.. As a matter of fact, I was quite surprised at the level of service and amount of amenities, this hotel had to offer.. Obren, the manager took good care of us and Dian, our server was great!. So basically, while great location, nothing that a little staff training and hoover couldn't sort..... The whole staff was always available and nice to us.. Cindy and Livia were so helpful.. I arrived to Catalina hotel a little bit earlier and the staff here were wonderful in getting me checked in!. The staff were super friendly and familiar with the location which was informative.. They went above and beyond and excelled in customer service.. Really good hotel, the people in the front desk were amazing and friendly (Livia and Emerson) 
They were really helpful with my staying�?
Nice stay in the hotel, everything is near�?Even a early check in, it was amazing�? Livia and Emerson at the front desk were so friendly and helpful.. Súper happy with the service they have been very helpful from the begging to end also gave us advice on where we could go to eat and the rooms are great and very clean.. Incredible stay, these people at the front desk are awesome, this is the first time hotel staff treat me like family!!. All the staff was amazing but in particular Livia at the Front Desk.. Great Attention and great service from Emerson and Livia, really helpful and kind.. Great hotel, amazing service, friendly staff.. They were extremely helpful.. The receptionists Livia and Mariela were so helpful and the art and zen garden are amazing will definitely come again I love it.. The staff, Livia and Mariela, was really nice and accommodating.. The staff were GREAT!!!!. Mariela and Livia and Emerson are very helpful and awesome.. Your staff rocks thanks for the nice
Smiles and pleasant attitudes.. Cindy and Mariela were very helpful and lovely and funny.. Front desk staff was fantastic and incredibly helpful.. Best of all they have a wonderful staff especially Mariela and Livia.. Everyone on staff is friendly and helpful.. The front desk staff was very friendly and wonderful enough to let us check in early.. Great customer service from Mariela, livia.. Mariela and Livia weee so helpful I needed an early check in , the view is beautiful and they have a tester aint and bar that is a part of the hotel and a lot of others surrounding everything is walking distance !. The hospitality is great, Livia & Mariela at the front desk made my stay to be so pleasant from the beginning.. Staff was so kind and professional at all times.. The staff at the front desk was very friendly and very helpful.. Great service from Mariela!. Pleasant experience working with staff on a hectic morning.. Best location and friendly staff, clean and super easy to check in!. Have Great service at the hotel with the receptionist Cindy and Livia Emerson they were fantastic customer service once our arrival I totally recommend this hotel and always as for them they make you feel like home and the hotel is located near the beach and 2 Restaurants they even gave me upgrade free of charge and there pool is awesome I totally recommend this hotel is my number 1 in South beach and I would
Gladly recommend check it out guys when you come to South Beach 🙂. Let’s start with the services provided soon as you walk into the lobby.. Very Understanding and took care of any questions and concerns.. Good location and service.. Good service from Cindy, Livia and Emerson.. The staff deserves to be acknowledged for their excellent  hospitality & extraordinary customer service.. they have been more than helpful! For more information, visit http://catalinahotel.com/ or check reviews online to learn more about guest experiences."
Cavalier Hotel South Beach,"Cavalier Hotel South Beach is a hotel rated 4.0 stars, located at 1320 Ocean Dr, Miami Beach, FL 33139-4210. This hotel offers a range from $191 - $350 per night and is ranked #101 of 235 hotels in Miami Beach in Miami Beach. Among its amenities are standard amenities. It has a total of 46 rooms. Key highlights from guest reviews include: Very clean and the bed was comfortable, we were up on the third floor facing the ocean which was a great view.. The views and the staff are amazing.. We would have loved a sea view room but these are limited, if we had paid more I'm sure a sea view would have been no issue.. The views from the room were horrible. It is a boutique style hotel with wonderfully quirky decor and very friendly and efficient service.. The hotel staff were extremely attentive to our requests and helpful with suggestions and tips about activities and excursions.. Reception was very nice nice and helpful.. Breakfast was slow service, but it was busy, and the food was good.. Check in staff was great but wait staff could be nicer.. Window towards Ocean Drive 

Great breakfast service with a lot of choices on freshly prepared breakfast.. I have been impressed with their level of customer service and everything that they offer here.. Personnel was very nice, especially the young man who checked me in and again checked me out a couple of days later (didn't get his name but he was nice, helpful, and friendly).. Very friendly staff, amazing service and so much history at the hotel!!. The views and the staff are amazing.. Staff was very polite and housekeeping superb.. The hotel is 1930s in style and this must be taken into consideration, if you are expecting a modern 5* hotel, you will be disappointed, this hotel offers a 5* service and is very clean with spacious rooms.. I was scared to enter and called the front desk right away.. I double check each time I leave the room that the door is tightly shut so I knew someone or  the staff were in my room, doing what I don't know.. Eddie at the front desk is super helpful and helps with accommodations.. Most of the staff are very friendly & co-operative.. I had also used the parking valet service and the 37.50 fee was taken from my card without being asked if this was the way I wanted to pay for it.. Great restaurant and awesome service.. The manager, Eddie was really nice and helpful, I would definitely be back again soon.. Hotel is very well located right in front of the beach and the staff is really good. The staff are very welcoming and calm.. I stayed here for one night - the staff were friendly from check in, all the way to helping until I left the hotel.. Breakfast cooked is fresh with great service.. Staff was also nice.. Staff was fabulous, especially Philip at the front desk.. The room was spacious and super clean 
Staff friendly especially Nesrine at the reception that helped me with another booking and was just super super friendly with all my questions 
I had dinner at the hotels restaurant on the bustling street - what a vibe.. Food was good value for money delicious and the staff also super friendly 
I would HIGHLY recommend this hotel 🏆. Staff was friendly.. Service like that is hard to beat!!. Room service, although it is offered, is not available.. The restaurant is serviceable.. Great service!. The rooms are rather classical, the location is close to anything you need, the staff is absolutely friendly and help you with their kind attitude.. We said we would like the manager to take a look at our situation in that case, and the front desk person then told me to email the manager for faster service.. I did hear a staff member knock on doors to ask for quiet, but the fighting continued later.. Only came for a night and even though it was very in and out, I didn’t find it to be the best service, I did expect a little more than what I received but I guess that is becuase I needed to spend more time there. For more information, visit http://www.cavaliersouthbeach.com or check reviews online to learn more about guest experiences."
