START_STATION_KEY,CASUAL_RIDE_COUNT,MEMBER_RIDE_COUNT,CASUAL_MEMBER_RATE
1,11932,18658,63.95
2,5390,8853,60.88
3,14380,8655,166.15
4,1653,3435,48.12
5,3957,5525,71.62
6,3195,3756,85.06
7,4331,11614,37.29
8,1176,2077,56.62
9,7331,16425,44.63
10,7846,10380,75.59
11,54,69,78.26
12,7041,9466,74.38
13,2750,4776,57.58
14,691,1108,62.36
15,2137,3169,67.43
16,1126,2188,51.46
17,59,15,393.33
18,1747,1268,137.78
19,208,86,241.86
20,1746,3318,52.62
21,1041,942,110.51
22,1160,1289,89.99
23,2435,3043,80.02
24,92,59,155.93
25,668,2043,32.7
26,1071,1377,77.78
27,6609,11400,57.97
28,1078,1162,92.77
29,352,313,112.46
30,289,158,182.91
32,67,89,75.28
33,671,1995,33.63
34,975,2533,38.49
35,83,136,61.03
36,542,670,80.9
37,164,38,431.58
38,65,8,812.5
39,962,3805,25.28
40,2503,2840,88.13
41,837,902,92.79
42,28,6,466.67
43,9484,22670,41.84
44,448,773,57.96
45,15,9,166.67
46,45,22,204.55
47,6,10,60
48,21,2,1050
49,50,4,1250
50,7,1,700
51,12,1,1200
52,10,2,500
53,2,14,14.29
101,8607,10781,79.83
102,1419,1573,90.21
103,9415,10116,93.07
104,6310,8327,75.78
105,3208,4708,68.14
106,2473,2381,103.86
107,5021,10133,49.55
108,3103,8763,35.41
109,2269,3215,70.58
110,4781,6697,71.39
111,1609,3842,41.88
112,2968,2710,109.52
113,12082,9833,122.87
114,14003,10780,129.9
115,1832,1936,94.63
116,5733,6725,85.25
117,987,5889,16.76
118,4593,5830,78.78
119,1859,8254,22.52
120,5651,9891,57.13
121,3187,4085,78.02
122,28662,14108,203.16
123,119,29,410.34
124,4297,5349,80.33
125,4020,6216,64.67
126,229,39,587.18
127,1154,2081,55.45
128,12645,14102,89.67
129,3047,1080,282.13
130,7583,10254,73.95
131,361,108,334.26
132,303,983,30.82
133,76,53,143.4
134,139,155,89.68
135,3230,6669,48.43
136,295,748,39.44
137,5408,11761,45.98
138,2527,4383,57.65
139,7823,11259,69.48
140,276,191,144.5
141,173,106,163.21
142,123,30,410
143,1065,662,160.88
144,390,385,101.3
145,725,956,75.84
146,62,21,295.24
147,75,23,326.09
148,226,232,97.41
149,16,5,320
150,78,56,139.29
151,48,5,960
152,31,7,442.86
153,65,34,191.18
154,25,13,192.31
155,79,20,395
156,123,22,559.09
157,142,58,244.83
158,14,1,1400
159,66,29,227.59
160,119,38,313.16
161,10,1,1000
162,8,2,400
163,14,14,100
164,19,31,61.29
165,7,4,175
166,4,1,400
167,4,1,400
201,2961,4241,69.82
202,10428,12898,80.85
203,1051,868,121.08
204,3828,5807,65.92
205,3835,6985,54.9
206,2915,3221,90.5
207,64450,15869,406.14
208,5187,7516,69.01
209,1176,4063,28.94
210,1631,2654,61.45
211,2172,2347,92.54
212,2191,3879,56.48
213,1925,1580,121.84
214,2425,4116,58.92
215,1015,1932,52.54
216,7676,9037,84.94
217,115,55,209.09
218,1958,3215,60.9
219,6345,11746,54.02
220,573,501,114.37
221,5068,5225,97
222,5461,4111,132.84
223,316,865,36.53
224,8702,7835,111.07
225,788,858,91.84
226,601,2506,23.98
227,531,474,112.03
228,3227,5303,60.85
229,1414,3997,35.38
230,2754,5111,53.88
231,1201,1500,80.07
232,253,203,124.63
233,1508,1195,126.19
234,463,673,68.8
235,108,18,600
236,166,186,89.25
237,84,17,494.12
238,7548,9522,79.27
239,2513,4179,60.13
240,96,13,738.46
241,5396,4924,109.59
242,61,13,469.23
243,1421,8047,17.66
244,104,40,260
245,74,11,672.73
246,214,305,70.16
247,207,61,339.34
248,2778,3381,82.17
249,5681,5552,102.32
250,42,7,600
251,79,10,790
252,11,4,275
253,14,9,155.56
254,11,6,183.33
255,18,1,1800
256,30,21,142.86
257,15,15,100
258,0,3,0
259,3,1,300
260,0,1,0
261,1,1,100
262,15809,20245,78.09
263,7725,10843,71.24
264,415,873,47.54
265,3301,4629,71.31
266,4567,8233,55.47
267,5313,3524,150.77
268,538,436,123.39
269,1673,2157,77.56
270,2310,3698,62.47
271,1482,2155,68.77
272,2935,4166,70.45
273,1508,1400,107.71
274,783,4441,17.63
275,908,2000,45.4
276,3350,5891,56.87
277,161,131,122.9
278,4409,6678,66.02
279,2794,5730,48.76
280,6766,1548,437.08
281,4753,4083,116.41
282,5406,7545,71.65
283,403,374,107.75
284,10,168,5.95
285,170,69,246.38
286,121,44,275
287,290,599,48.41
288,489,184,265.76
289,193,114,169.3
290,1872,1714,109.22
291,737,287,256.79
292,89,35,254.29
293,55,37,148.65
294,2006,2371,84.61
295,324,312,103.85
296,42,4,1050
297,3326,4589,72.48
298,935,1800,51.94
299,409,789,51.84
300,642,437,146.91
301,66,21,314.29
302,1549,3111,49.79
303,422,381,110.76
304,63,19,331.58
305,130,4,3250
306,41,1,4100
401,5595,5551,100.79
402,15598,23900,65.26
403,4777,9228,51.77
404,2430,4659,52.16
405,7949,10808,73.55
406,1150,1243,92.52
407,6985,7300,95.68
408,4628,7233,63.98
409,2818,3771,74.73
410,1020,1586,64.31
411,4713,9955,47.34
412,2165,2400,90.21
413,3791,5708,66.42
414,4483,6974,64.28
415,649,1456,44.57
416,14698,5382,273.1
417,3457,5469,63.21
418,3114,4084,76.25
419,971,966,100.52
420,949,1663,57.07
421,0,5,0
422,208,14,1485.71
423,471,570,82.63
424,1827,2699,67.69
425,159,23,691.3
426,69,7,985.71
427,1149,3522,32.62
428,583,468,124.57
429,215,64,335.94
430,68,5,1360
431,622,524,118.7
432,736,1315,55.97
433,2432,7150,34.01
434,219,69,317.39
435,4652,5793,80.3
436,526,2012,26.14
437,2043,2431,84.04
438,1704,3683,46.27
439,68,8,850
440,121,13,930.77
441,81,13,623.08
442,140,28,500
443,105,25,420
444,89,59,150.85
445,62,18,344.44
446,26,8,325
447,50,20,250
448,27,12,225
449,22,1,2200
450,37,16,231.25
451,6,1,600
452,6,7,85.71
453,4,1,400
454,2,1,200
455,3060,3612,84.72
456,1005,920,109.24
457,5711,9019,63.32
458,3879,4477,86.64
