START_STATION,AVG_RIDE_COUNT
Streeter Dr & Grand Ave,5215.04
Michigan Ave & Oak St,2715.83
Millennium Park,2676.04
Theater on the Lake,2163.63
Wells St & Concord Ln,2134.00
Clark St & Elm St,2035.13
Wells St & Elm St,1815.25
Wabash Ave & Grand Ave,1753.08
Shedd Aquarium,1728.21
Clark St & Lincoln Ave,1705.25
Clark St & Armitage Ave,1689.75
Indiana Ave & Roosevelt Rd,1666.50
Lake Shore Dr & Monroe St,1620.08
Dearborn St & Erie St,1605.75
St. Clair St & Erie St,1594.58
Kingsbury St & Kinzie St,1583.67
Broadway & Barry Ave,1537.46
New St & Illinois St,1501.33
Wells St & Huron St,1477.92
Michigan Ave & Washington St,1450.17
Michigan Ave & Lake St,1435.83
Fairbanks Ct & Grand Ave,1405.67
Larrabee St & Webster Ave,1374.79
DuSable Lake Shore Dr & North Blvd,1373.92
Lake Shore Dr & North Blvd,1364.63
Wilton Ave & Belmont Ave,1357.46
Lakeview Ave & Fullerton Pkwy,1329.71
DuSable Lake Shore Dr & Monroe St,1321.00
Green St & Madison St,1319.96
Columbus Dr & Randolph St,1297.79
Wells St & Evergreen Ave,1295.92
Dusable Harbor,1290.54
LaSalle St & Illinois St,1277.71
Clark St & Wrightwood Ave,1255.75
Wabash Ave & Roosevelt Rd,1243.25
Ashland Ave & Division St,1233.29
Clinton St & Madison St,1227.29
Montrose Harbor,1216.04
Desplaines St & Kinzie St,1211.50
Wells St & Hubbard St,1209.54
Dearborn Pkwy & Delaware Pl,1208.54
Clark St & Drummond Pl,1199.29
Lincoln Ave & Fullerton Ave,1186.83
Clark St & Schiller St,1151.29
Michigan Ave & 8th St,1150.67
Clark St & Newport St,1140.33
Halsted St & Roscoe St,1121.63
State St & Kinzie St,1120.29
McClurg Ct & Erie St,1114.46
Broadway & Cornelia Ave,1098.50
Rush St & Cedar St,1089.50
Pine Grove Ave & Waveland Ave,1082.54
Rush St & Superior St,1076.58
State St & Randolph St,1071.38
Broadway & Waveland Ave,1070.92
Damen Ave & Pierce Ave,1069.71
Green St & Randolph St,1067.63
Mies van der Rohe Way & Chestnut St,1030.79
Sheffield Ave & Waveland Ave,1030.71
Clinton St & Washington Blvd,1018.88
Lakefront Trail & Bryn Mawr Ave,1017.29
Federal St & Polk St,1002.38
Stockton Dr & Wrightwood Ave,993.63
Morgan St & Lake St,993.54
Southport Ave & Roscoe St,991.13
Bissell St & Armitage Ave,986.79
Clark St & Wellington Ave,980.21
Kingsbury St & Erie St,957.08
Wabash Ave & 9th St,956.83
Adler Planetarium,955.71
Halsted St & Wrightwood Ave,955.00
Halsted St & Clybourn Ave,954.50
Wilton Ave & Diversey Pkwy,954.33
Daley Center Plaza,951.92
Wabash Ave & Wacker Pl,941.79
Orleans St & Merchandise Mart Plaza,939.42
Buckingham Fountain,935.50
Milwaukee Ave & Grand Ave,934.54
Dearborn St & Monroe St,933.88
Mies van der Rohe Way & Chicago Ave,930.33
Southport Ave & Waveland Ave,922.04
Sheffield Ave & Wellington Ave,903.83
Franklin St & Jackson Blvd,902.58
Lincoln Park Conservatory,901.38
Sheffield Ave & Fullerton Ave,894.63
Broadway & Belmont Ave,876.21
Halsted St & Dickens Ave,873.88
Canal St & Adams St,866.58
Sheffield Ave & Webster Ave,865.63
Clark St & Grace St,861.04
Clinton St & Lake St,853.33
Sedgwick St & North Ave,853.08
Franklin St & Illinois St,848.67
Clark St & Lake St,842.88
Burnham Harbor,830.63
Ellis Ave & 60th St,820.17
Sedgwick St & Webster Ave,817.13
Clark St & Randolph St,814.58
Wood St & Milwaukee Ave,810.50
Sheffield Ave & Wrightwood Ave,805.92
Loomis St & Lexington St,801.38
Lincoln Ave & Diversey Pkwy,796.04
Franklin St & Lake St,793.58
Larrabee St & Kingsbury St,786.92
Michigan Ave & Pearson St,783.29
Peoria St & Jackson Blvd,780.17
Pine Grove Ave & Irving Park Rd,777.88
LaSalle Dr & Huron St,770.92
Sheridan Rd & Montrose Ave,765.38
Field Blvd & South Water St,764.96
Shore Dr & 55th St,761.00
Michigan Ave & 14th St,759.67
Ritchie Ct & Banks St,758.79
Cityfront Plaza Dr & Pioneer Ct,756.17
Clark St & North Ave,750.63
Clark St & Chicago Ave,749.00
University Ave & 57th St,747.08
Burling St & Diversey Pkwy,740.50
Racine Ave & Fullerton Ave,735.00
Sheridan Rd & Irving Park Rd,730.54
Racine Ave & Belmont Ave,730.42
Michigan Ave & Jackson Blvd,720.63
Broadway & Sheridan Rd,714.58
Fort Dearborn Dr & 31st St,709.42
Sheffield Ave & Kingsbury St,708.00
Franklin St & Chicago Ave,706.75
Michigan Ave & Madison St,695.71
Stetson Ave & South Water St,695.54
Clinton St & Jackson Blvd,681.71
Sheffield Ave & Willow St,680.29
Sedgwick St & Huron St,678.79
Clarendon Ave & Gordon Ter,676.71
Milwaukee Ave & Wabansia Ave,670.92
Canal St & Madison St,667.71
Franklin St & Monroe St,665.71
Greenview Ave & Fullerton Ave,659.54
Wells St & Polk St,657.46
Southport Ave & Wellington Ave,656.38
Damen Ave & Cortland St,649.71
Lake Shore Dr & Ohio St,642.92
DuSable Lake Shore Dr & Belmont Ave,642.58
Lake Shore Dr & Diversey Pkwy,642.50
State St & Pearson St,638.92
Desplaines St & Randolph St,636.29
Clark St & Winnemac Ave,634.67
Clarendon Ave & Junior Ter,627.92
DuSable Lake Shore Dr & Wellington Ave,624.83
Southport Ave & Wrightwood Ave,622.79
DuSable Lake Shore Dr & Diversey Pkwy,621.13
Lake Shore Dr & Wellington Ave,616.08
Wabash Ave & Adams St,614.46
LaSalle St & Jackson Blvd,613.75
Dayton St & North Ave,613.46
Lake Shore Dr & Belmont Ave,613.08
Kimbark Ave & 53rd St,609.33
Halsted St & Willow St,604.17
Larrabee St & Division St,602.04
Ravenswood Ave & Lawrence Ave,598.04
Lincoln Ave & Roscoe St,593.79
Desplaines St & Jackson Blvd,592.58
Lakefront Trail & Wilson Ave,591.17
Aberdeen St & Jackson Blvd,588.75
Damen Ave & Chicago Ave,586.88
DuSable Lake Shore Dr & Ohio St,586.83
Ellis Ave & 55th St,581.88
Honore St & Division St,577.50
Clifton Ave & Armitage Ave,575.42
Ogden Ave & Chicago Ave,572.38
Lincoln Ave & Belmont Ave,571.50
Larrabee St & Armitage Ave,568.21
Aberdeen St & Monroe St,565.58
Orleans St & Chestnut St (NEXT Apts),560.00
Ashland Ave & Blackhawk St,552.54
Calumet Ave & 18th St,551.08
Rush St & Hubbard St,546.83
Kedzie Ave & Milwaukee Ave,543.58
Michigan Ave & 18th St,536.25
Ogden Ave & Race Ave,535.50
Damen Ave & Division St,534.38
Carpenter St & Huron St,530.83
